[21796:21740:1101/104358.393:WARNING:chrome_main_delegate.cc(613)] This is Chrome version 118.0.5993.118 (not a warning)
[21796:21740:1101/104358.569:INFO:policy_logger.cc(142)] :components\enterprise\browser\controller\chrome_browser_cloud_management_controller.cc(168) Starting CBCM Controller Initialization
[21796:21740:1101/104358.569:INFO:policy_logger.cc(142)] :components\enterprise\browser\controller\chrome_browser_cloud_management_controller.cc(196) No machine level policy manager exists.
[21796:21740:1101/104400.820:INFO:CONSOLE(0)] "Fetch event handler is recognized as no-op. No-op fetch handler may bring overhead during navigation. Consider removing the handler if possible.", source:  (0)
[21796:21740:1101/112735.023:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112817.743:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112817.782:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112859.851:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112859.908:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112913.065:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/112913.181:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/113002.805:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/113002.967:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/113045.405:INFO:CONSOLE(2)] "[Cable::context] Initializing CableContext", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
[21796:21740:1101/113045.578:INFO:CONSOLE(2)] "0", source: https://www.olx.com.pk/assets/sentry.d62e665948e684eb42a1.js (2)
